Effect size,Sample Size,Noncompliance,Miss Y,Method,coverage,bias,mc error,RMSE,CI width
2,200,30,0,Bayes,0.958,0.027,0.009,0.453,1.816
2,200,30,0,SMC MIC,0.946,0.029,0.01,0.48,1.832
2,200,30,0,TS,0.952,-0.011,0.01,0.481,1.914
2,200,30,1,Bayes,0.949,0.019,0.011,0.538,2.061
2,200,30,1,SMC MIC,0.945,0.043,0.011,0.545,2.036
2,200,30,1,TS,0.947,-0.03,0.012,0.592,2.285
2,200,50,0,Bayes,0.952,0.046,0.01,0.514,1.999
2,200,50,0,SMC MIC,0.95,0.042,0.01,0.519,1.995
2,200,50,0,TS,0.947,-0.004,0.011,0.561,2.139
2,200,50,1,Bayes,0.951,0.032,0.011,0.573,2.243
2,200,50,1,SMC MIC,0.937,0.061,0.012,0.586,2.205
2,200,50,1,TS,0.955,-0.045,0.013,0.66,2.561
2,1000,30,0,Bayes,0.945,0.01,0.004,0.21,0.809
2,1000,30,0,SMC MIC,0.95,0.004,0.004,0.212,0.816
2,1000,30,0,TS,0.95,0.001,0.004,0.22,0.853
2,1000,30,1,Bayes,0.946,-0.002,0.005,0.232,0.911
2,1000,30,1,SMC MIC,0.94,0.017,0.005,0.237,0.908
2,1000,30,1,TS,0.95,-0.022,0.005,0.261,1.014
2,1000,50,0,Bayes,0.951,0.009,0.005,0.228,0.886
2,1000,50,0,SMC MIC,0.944,-0.001,0.005,0.23,0.89
2,1000,50,0,TS,0.948,-0.004,0.005,0.247,0.952
2,1000,50,1,Bayes,0.949,-0.004,0.005,0.252,0.987
2,1000,50,1,SMC MIC,0.942,0.02,0.005,0.26,0.99
2,1000,50,1,TS,0.954,-0.034,0.006,0.286,1.134
4,200,30,0,Bayes,0.949,0.023,0.009,0.459,1.812
4,200,30,0,SMC MIC,0.947,0.016,0.01,0.478,1.821
4,200,30,0,TS,0.95,-0.019,0.01,0.491,1.91
4,200,30,1,Bayes,0.951,-0.003,0.011,0.527,2.063
4,200,30,1,SMC MIC,0.946,0.025,0.011,0.533,2.027
4,200,30,1,TS,0.956,-0.024,0.012,0.583,2.282
4,200,50,0,Bayes,0.954,0.041,0.01,0.509,2.009
4,200,50,0,SMC MIC,0.948,0.022,0.01,0.515,1.978
4,200,50,0,TS,0.958,0.009,0.011,0.543,2.132
4,200,50,1,Bayes,0.95,0.007,0.011,0.57,2.247
4,200,50,1,SMC MIC,0.945,0.034,0.012,0.575,2.227
4,200,50,1,TS,0.958,-0.059,0.013,0.652,2.568
4,1000,30,0,Bayes,0.949,-0.003,0.004,0.207,0.814
4,1000,30,0,SMC MIC,0.954,0.003,0.004,0.206,0.814
4,1000,30,0,TS,0.952,-0.009,0.004,0.217,0.854
4,1000,30,1,Bayes,0.956,-0.006,0.005,0.227,0.909
4,1000,30,1,SMC MIC,0.954,0.012,0.005,0.232,0.908
4,1000,30,1,TS,0.947,-0.02,0.005,0.258,1.014
4,1000,50,0,Bayes,0.957,0.008,0.004,0.225,0.893
4,1000,50,0,SMC MIC,0.951,0.006,0.005,0.228,0.891
4,1000,50,0,TS,0.952,0.002,0.005,0.239,0.952
4,1000,50,1,Bayes,0.95,0,0.005,0.25,0.991
4,1000,50,1,SMC MIC,0.944,0.026,0.005,0.255,0.99
4,1000,50,1,TS,0.952,-0.034,0.006,0.293,1.135